category,spec_key_hash,count,min,p25,median,mean,p75,max
12_pet_supplies,c811ea703af9545c,21,0,35000,100000,156450,170000,780000
12_pet_supplies,9af372358973d9ff,3,5000,12500,20000,15000,20000,20000
12_pet_supplies,4a99cb1e2f836389,3,300000,300000,300000,316666,325000,350000
12_pet_supplies,2378817ef3b42bd7,2,8000,8000,8000,8000,8000,8000
12_pet_supplies,3d9eaee42bd86881,2,80000,115000,150000,150000,185000,220000
12_pet_supplies,9d1d7ee3e45e92bf,2,250000,250000,250000,250000,250000,250000
12_pet_supplies,fe2d3f2bfb28f75d,2,200000,225000,250000,250000,275000,300000
12_pet_supplies,36700b2f2a1a0f40,2,180000,235000,290000,290000,345000,400000
