category,spec_key_hash,count,min,p25,median,mean,p75,max
10_hobby_games,9ee44f4654cbfe50,4,8000,35750,46500,37250,48000,48000
10_hobby_games,2017aa70983e9b21,2,470000,509750,549500,549500,589250,629000
10_hobby_games,e8414ce6fa2cf24a,2,120000,128750,137500,137500,146250,155000
10_hobby_games,ca98dc9696f499e2,2,12345,26758,41172,41172,55586,70000
10_hobby_games,294c5a6cd4b4fa26,2,95000,163750,232500,232500,301250,370000
10_hobby_games,5efe0d66e7a841f3,2,34000,50499,66999,66999,83499,99999
10_hobby_games,791f0aee9c7b4f3f,2,1000,195750,390500,390500,585250,780000
