category,spec_key_hash,count,min,p25,median,mean,p75,max
08_daily_goods,79b736951bab1468,9,20000,20000,50000,265555,300000,1200000
08_daily_goods,27d2e47fed5d2291,5,1000,3000,12000,2483200,400000,12000000
08_daily_goods,aad2f87cfde09cc0,4,2123,2123,2123,2123,2123,2123
08_daily_goods,0511dc36af7a232b,3,50000,225000,400000,300000,425000,450000
08_daily_goods,c9ab99074aa7cc89,2,0,20000,40000,40000,60000,80000
08_daily_goods,343645cca3c51bf0,2,3000,9750,16500,16500,23250,30000
08_daily_goods,7b92619b9c97fcff,2,0,37500,75000,75000,112500,150000
08_daily_goods,7d984c5475a93c25,2,15000,31250,47500,47500,63750,80000
08_daily_goods,ad7aab514a6faaf1,2,200000,210000,220000,220000,230000,240000
