category,spec_key_hash,count,min,p25,median,mean,p75,max
11_beauty,021deafcece805ee,5,95000,95000,95000,96000,95000,100000
11_beauty,ac66617ad84be2d9,3,80000,80000,80000,80666,81000,82000
11_beauty,12821e7a9be9cda9,3,39800,41300,42800,42800,44300,45800
11_beauty,c8cd99e7d6735cde,3,25000,26000,27000,27000,28000,29000
11_beauty,0164eaf7ae96f566,2,37000,37750,38500,38500,39250,40000
11_beauty,6a2a81fc1e63f88a,2,29000,29000,29000,29000,29000,29000
11_beauty,a311885409e855fe,2,115000,115000,115000,115000,115000,115000
11_beauty,b95e13112c6e06d5,2,15000,15000,15000,15000,15000,15000
