category,spec_key_hash,count,min,p25,median,mean,p75,max
04_womens_clothing,be639ff28b43905b,10,6000,10000,10000,20100,23750,55000
04_womens_clothing,38a0e243f75daed9,3,80000,80000,80000,80000,80000,80000
04_womens_clothing,ed3534316e740fb2,2,15000,18750,22500,22500,26250,30000
04_womens_clothing,bdb54f56abf185e1,2,80000,122500,165000,165000,207500,250000
04_womens_clothing,7fe1a5035e92c2d0,2,120000,120000,120000,120000,120000,120000
04_womens_clothing,2a0ab9325ef34e53,2,60000,60000,60000,60000,60000,60000
04_womens_clothing,2b6cb295616de5af,2,11000,14000,17000,17000,20000,23000
04_womens_clothing,c27dea68ab9f229d,2,10000,40000,70000,70000,100000,130000
