category,spec_key_hash,count,min,p25,median,mean,p75,max
05_fashion_accessories,cccb081e40ea277f,7,350000,500000,550000,535714,600000,650000
05_fashion_accessories,029498abc8454f6e,3,20000,30000,40000,103333,145000,250000
05_fashion_accessories,dd26e01428072941,3,3000,13000,23000,16333,23000,23000
05_fashion_accessories,7993cfcbc774b172,2,10000,17500,25000,25000,32500,40000
05_fashion_accessories,0cd88bc7eefa2fe4,2,20000,28750,37500,37500,46250,55000
05_fashion_accessories,be774da21bce9ee4,2,50000,50000,50000,50000,50000,50000
05_fashion_accessories,bd93b9f4a39786d2,2,280000,310000,340000,340000,370000,400000
05_fashion_accessories,f3bf079cc532779b,2,450000,467500,485000,485000,502500,520000
