category,spec_key_hash,count,min,p25,median,mean,p75,max
15_tickets_vouchers,64ac6e45fd592004,5,18000,18000,20500,21700,23000,29000
15_tickets_vouchers,ca72609ec829c729,3,16800,16800,16800,18366,19150,21500
15_tickets_vouchers,7245f7d4c1ef209b,2,20500,22875,25250,25250,27625,30000
15_tickets_vouchers,2554f82ff385c2ab,2,3500,3525,3550,3550,3575,3600
15_tickets_vouchers,3f802457e897fcc0,2,20500,21625,22750,22750,23875,25000
15_tickets_vouchers,bc403c7ac5e76b7a,2,10000,87886,165773,165773,243659,321546
15_tickets_vouchers,c871032ec4394abb,2,111000,111000,111000,111000,111000,111000
