category,spec_key_hash,count,min,p25,median,mean,p75,max
16_etc,44136fa355b3678a,18,0,0,0,8256,375,90000
16_etc,d292886e25a6c0bc,16,3000,23750,115555,721069,155000,9999999
16_etc,6f9165bccd10695d,6,10000,18250,74000,265500,195000,1200000
16_etc,e6488f9b39c3803f,3,0,0,0,0,0,0
16_etc,a60a15bae053f71e,2,0,0,0,0,0,0
16_etc,ec950de2c3ff6352,2,4000,4000,4000,4000,4000,4000
16_etc,ad02fd2efb4efae2,2,50000,75000,100000,100000,125000,150000
16_etc,04dd2490316f6f19,2,250000,342500,435000,435000,527500,620000
16_etc,ee56a9f408c66786,2,31000,31000,31000,31000,31000,31000
